datetime,count,holiday,workday,temp,feels_like,temp_min,temp_max,humidity,wind_speed,weather_main
1/1/2018 0:00,34,1,0,-7.17,-12.73,-8.56,-7.09,53,3.6,Clouds
1/1/2018 1:00,49,1,0,-7.35,-13.81,-9.03,-7.15,49,4.6,Clear
1/1/2018 2:00,37,1,0,-7.88,-14.05,-9.03,-7.69,52,4.1,Clear
1/1/2018 3:00,9,1,0,-8.1,-14.32,-9.36,-7.89,49,4.1,Clear
1/1/2018 4:00,12,1,0,-8.19,-14.43,-9.46,-8.09,49,4.1,Clear
1/1/2018 5:00,8,1,0,-8.24,-14.5,-9.56,-8.15,49,4.1,Clear
1/1/2018 6:00,9,1,0,-8.91,-13.71,-10.03,-8.69,52,2.6,Clear
1/1/2018 7:00,11,1,0,-8.91,-13.71,-10.03,-8.69,56,2.6,Clear
1/1/2018 8:00,19,1,0,-9.05,-14.49,-10.16,-8.99,56,3.1,Clear
1/1/2018 9:00,31,1,0,-9.8,-15.39,-10.36,-9.39,61,3.1,Clear
1/1/2018 10:00,61,1,0,-9.7,-15.81,-10.26,-9.19,61,3.6,Clear
1/1/2018 11:00,97,1,0,-10.19,-15.86,-11.15,-9.29,65,3.1,Clear
1/1/2018 12:00,104,1,0,-9.4,-14.91,-12.56,-9.15,58,3.1,Clear
1/1/2018 13:00,116,1,0,-9.4,-13.57,-12.16,-9.15,58,2.1,Clouds
1/1/2018 14:00,113,1,0,-8.02,-14.22,-9.16,-7.94,52,4.1,Clear
1/1/2018 15:00,124,1,0,-7.32,-13.77,-7.69,-6.84,47,4.6,Clear
1/1/2018 16:00,88,1,0,-6.25,-12.44,-7.03,-5.74,41,4.6,Clouds
1/1/2018 17:00,87,1,0,-5.35,-12.06,-7.03,-5.14,38,5.7,Clouds
1/1/2018 18:00,51,1,0,-5.14,-12.09,-6.16,-4.15,35,6.2,Clouds
1/1/2018 19:00,56,1,0,-5.4,-10.09,-6.46,-5.14,38,3.1,Clouds
1/1/2018 20:00,41,1,0,-5.35,-10.94,-6.06,-5.14,38,4.1,Clouds
1/1/2018 21:00,27,1,0,-5.17,-9.27,-6.03,-5.14,35,2.6,Clouds
1/1/2018 22:00,20,1,0,-5.79,-11.05,-7.03,-5.59,38,3.6,Clouds
1/1/2018 23:00,9,1,0,-5.93,-8.52,-7.06,-5.74,38,1.5,Clouds
1/2/2018 0:00,3,0,1,-6.14,-11.47,-7.16,-6.09,38,3.6,Clear
1/2/2018 1:00,6,0,1,-6.95,-13.95,-8.03,-6.84,37,7.7,Clear
1/2/2018 2:00,4,0,1,-8.02,-15.02,-9.03,-7.94,41,6.7,Clear
1/2/2018 3:00,4,0,1,-8.28,-15.28,-9.56,-8.15,45,5.7,Clouds
1/2/2018 4:00,10,0,1,-9.05,-16.05,-10.26,-8.99,43,6.2,Clouds
1/2/2018 5:00,43,0,1,-9.31,-14.19,-10.56,-9.15,40,2.6,Clouds
1/2/2018 6:00,135,0,1,-9.8,-16.42,-10.56,-9.39,47,4.1,Clear
1/2/2018 7:00,284,0,1,-9.93,-15.55,-11.03,-9.69,47,3.1,Clear
1/2/2018 8:00,501,0,1,-9.93,-16.93,-11.03,-9.69,47,4.6,Clear
1/2/2018 9:00,257,0,1,-10.07,-15.09,-11.03,-9.99,47,2.6,Clear
1/2/2018 10:00,108,0,1,-10.12,-15.78,-11.06,-10.09,48,3.1,Clear
1/2/2018 11:00,124,0,1,-10.7,-15.09,-11.16,-10.39,51,2.1,Clear
1/2/2018 12:00,158,0,1,-10.74,-15.88,-11.36,-10.49,51,2.6,Clear
1/2/2018 13:00,157,0,1,-10.74,-17.57,-11.15,-10.49,51,4.1,Clear
1/2/2018 14:00,140,0,1,-9.45,-15.98,-10.16,-9.15,44,4.1,Clear
1/2/2018 15:00,209,0,1,-8.65,-14,-9.26,-8.15,41,3.1,Clear
1/2/2018 16:00,344,0,1,-7.49,-12.61,-8.16,-7.15,38,3.1,Clear
1/2/2018 17:00,493,0,1,-6.74,-12.2,-7.39,-6.15,35,3.6,Clear
1/2/2018 18:00,371,0,1,-5.97,-11.27,-6.46,-5.74,35,3.6,Clear
1/2/2018 19:00,212,0,1,-4.88,-9.46,-5.79,-4.04,30,3.1,Clear
1/2/2018 20:00,100,0,1,-3.89,-7.75,-5.03,-3.15,28,2.6,Clear
1/2/2018 21:00,70,0,1,-3.38,-6.53,-5.03,-3.15,28,2.1,Clear
1/2/2018 22:00,43,0,1,-4.05,-7.31,-5.06,-3.99,32,2.1,Clear
1/2/2018 23:00,16,0,1,-4.45,-4.45,-5.46,-4.15,33,1,Clear
1/3/2018 0:00,9,0,1,-5.37,-7.88,-9.03,-4.69,41,1.5,Clouds
1/3/2018 1:00,2,0,1,-5.63,-9.81,-9.06,-4.99,42,2.6,Clouds
1/3/2018 2:00,3,0,1,-5.82,-9.38,-10.26,-5.39,49,2.1,Clouds
1/3/2018 3:00,5,0,1,-5.87,-8.45,-10.03,-5.49,52,1.5,Clouds
1/3/2018 4:00,12,0,1,-6.4,-10.06,-11.03,-5.69,56,2.1,Clouds
1/3/2018 5:00,47,0,1,-6.05,-6.05,-12.03,-5.89,49,1,Clouds
1/3/2018 6:00,145,0,1,-7.03,-7.03,-12.06,-6.79,58,0,Clouds
1/3/2018 7:00,342,0,1,-7.37,-7.37,-13.03,-6.84,62,0,Clear
1/3/2018 8:00,626,0,1,-8.15,-8.15,-13.26,-7.99,67,0,Clear
1/3/2018 9:00,322,0,1,-8.91,-8.91,-14.03,-8.69,73,1,Clear
1/3/2018 10:00,152,0,1,-9.15,-9.15,-14.06,-7.99,71,0.5,Clear
1/3/2018 11:00,144,0,1,-9.03,-12.05,-14.36,-8.69,73,1.5,Clouds
1/3/2018 12:00,189,0,1,-8.71,-8.71,-14.56,-7.99,79,0.5,Clouds
1/3/2018 13:00,177,0,1,-8.07,-8.07,-13.46,-7.94,79,0.5,Clouds
1/3/2018 14:00,162,0,1,-6.54,-6.54,-10.03,-5.99,72,0.5,Clouds
1/3/2018 15:00,261,0,1,-5.56,-8.1,-6.15,-5.03,67,1.5,Clouds
1/3/2018 16:00,368,0,1,-4.19,-4.19,-4.29,-3.66,48,1,Clouds
1/3/2018 17:00,669,0,1,-2.4,-2.4,-3.03,-2.15,43,0.5,Clouds
1/3/2018 18:00,521,0,1,-0.86,-3.58,-2.03,-0.14,34,2.1,Clouds
1/3/2018 19:00,256,0,1,-0.26,-0.26,-0.39,-0.03,34,1,Clouds
1/3/2018 20:00,142,0,1,1.07,-2.3,-0.03,1.85,29,3.1,Clouds
1/3/2018 21:00,100,0,1,0.67,0.67,-0.06,0.96,27,1,Clouds
1/3/2018 22:00,67,0,1,0.41,0.41,-1.26,0.85,25,1,Clouds
1/3/2018 23:00,27,0,1,-0.17,-0.17,-2.03,-0.14,34,0.5,Clouds
1/4/2018 0:00,9,0,1,-0.74,-0.74,-2.06,-0.49,45,1,Clouds
1/4/2018 1:00,6,0,1,-0.79,-0.79,-2.26,-0.59,45,1,Clouds
1/4/2018 2:00,0,0,1,-0.93,-4.23,-2.36,-0.74,46,2.6,Clouds
1/4/2018 3:00,3,0,1,-1.24,-3.17,-2.26,-1.15,50,1.5,Clouds
1/4/2018 4:00,7,0,1,-1.33,-3.27,-2.56,-1.15,59,1.5,Snow
1/4/2018 5:00,22,0,1,-3.02,-3.02,-3.56,-2.94,85,1,Snow
1/4/2018 5:00,22,0,1,-3.02,-3.02,-3.56,-2.94,85,1,Mist
1/4/2018 6:00,46,0,1,-3.35,-7.62,-4.16,-2.94,85,3.1,Snow
1/4/2018 6:00,46,0,1,-3.35,-7.62,-4.16,-2.94,85,3.1,Mist
1/4/2018 7:00,87,0,1,-3.47,-7.25,-4.56,-3.15,86,2.6,Snow
1/4/2018 7:00,87,0,1,-3.47,-7.25,-4.56,-3.15,86,2.6,Mist
1/4/2018 8:00,206,0,1,-3.24,-7.94,-4.06,-3.15,80,3.6,Snow
1/4/2018 9:00,185,0,1,-4.05,-9.71,-5.03,-3.99,79,4.6,Snow
1/4/2018 10:00,158,0,1,-4.09,-9.76,-5.16,-4.04,80,4.6,Snow
1/4/2018 11:00,107,0,1,-4.59,-11.1,-5.56,-4.15,81,5.7,Snow
1/4/2018 12:00,91,0,1,-4.49,-9.88,-6.03,-4.15,74,4.1,Snow
1/4/2018 13:00,88,0,1,-4.59,-11.39,-5.56,-4.15,74,6.2,Snow
1/4/2018 14:00,95,0,1,-4.19,-10.88,-5.16,-4.04,63,6.2,Snow
1/4/2018 15:00,109,0,1,-4,-9.98,-4.56,-3.89,58,5.1,Snow
1/4/2018 16:00,187,0,1,-4.54,-11.54,-5.03,-4.15,69,6.7,Snow
1/4/2018 17:00,345,0,1,-4.14,-11.14,-5.06,-4.04,68,7.2,Snow
1/4/2018 18:00,280,0,1,-3.75,-10.75,-3.79,-3.15,54,8.2,Snow
1/4/2018 19:00,161,0,1,-3.38,-10.38,-3.39,-2.94,50,8.2,Snow
1/4/2018 20:00,68,0,1,-3.28,-9.72,-3.29,-2.94,46,6.2,Snow
1/4/2018 21:00,55,0,1,-3.75,-10.75,-3.79,-3.15,42,11.3,Clouds
