,Id,river,location,erected,purpose,length,lanes,clear-g,t-or-d,material,span,rel-l,type
0,E1,M,3.0,1818,HIGHWAY,1567.469135802469,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
1,E2,A,25.0,1819,HIGHWAY,1037.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
2,E3,A,39.0,1829,AQUEDUCT,1567.469135802469,1.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
3,E5,A,29.0,1837,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
4,E6,M,23.0,1838,HIGHWAY,1567.469135802469,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
5,E7,A,27.0,1840,HIGHWAY,990.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
6,E8,A,28.0,1844,AQUEDUCT,1000.0,1.0,N,THROUGH,IRON,SHORT,S,SUSPEN
7,E9,M,3.0,1846,HIGHWAY,1500.0,2.0,N,THROUGH,IRON,SHORT,S,SUSPEN
8,E10,A,39.0,1848,AQUEDUCT,1567.469135802469,1.0,N,DECK,WOOD,MEDIUM,S,WOOD
9,E11,A,29.0,1851,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
10,E12,A,39.0,1853,RR,1567.469135802469,2.0,N,DECK,WOOD,MEDIUM,S,WOOD
11,E14,M,6.0,1856,HIGHWAY,1200.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
12,E13,A,33.0,1856,HIGHWAY,1567.469135802469,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
13,E15,A,28.0,1857,RR,1567.469135802469,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
14,E16,A,25.0,1859,HIGHWAY,1030.0,2.0,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
16,E18,A,28.0,1864,RR,1200.0,2.0,N,THROUGH,IRON,SHORT,S,SIMPLE-T
17,E19,A,29.0,1866,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
18,E20,A,32.0,1870,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
21,E22,A,24.0,1876,HIGHWAY,1200.0,4.0,G,THROUGH,WOOD,SHORT,S,WOOD
24,E27,A,39.0,1883,RR,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
25,E26,M,12.0,1883,RR,1150.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
26,E30,A,31.0,1884,RR,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
28,E28,M,3.0,1884,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
29,E32,A,30.0,1887,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
30,E31,M,8.0,1887,RR,1161.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
31,E34,O,41.0,1888,RR,4558.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
32,E33,M,19.0,1889,HIGHWAY,1120.0,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
33,E36,O,45.0,1890,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,SHORT,F,SIMPLE-T
34,E35,A,27.0,1890,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
35,E38,M,17.0,1891,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
36,E37,M,18.0,1891,RR,1350.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
37,E39,A,25.0,1892,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
38,E4,A,27.0,1892,AQUEDUCT,1092.0,1.0,N,THROUGH,WOOD,SHORT,S,WOOD
39,E40,M,22.0,1893,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
40,E41,M,11.0,1894,HIGHWAY,1567.469135802469,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
41,E42,M,9.0,1895,HIGHWAY,2367.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
42,E44,O,48.0,1896,HIGHWAY,1567.469135802469,2.0,G,THROUGH,STEEL,LONG,F,SUSPEN
43,E43,M,7.0,1896,HIGHWAY,1040.0,2.0,G,THROUGH,STEEL,LONG,F,ARCH
44,E46,A,37.0,1897,RR,4000.0,2.0,G,DECK,STEEL,LONG,F,SIMPLE-T
