true,prot,deut,trit
148BF0,5784EB,1B8AF0,0096A0
AE5348,766E53,866944,AD5257
90F983,F8E07A,FFDAB4,AAEAFD
A8199C,005CC0,4B5F8C,9D4247
1EB688,AA9F7D,B59A90,46ADBB
C796AF,A0A1B5,AF9EAB,C497A2
C75D9A,737FAE,877D90,C1676E
E7F319,FFE881,FFE4C3,FAE1F3
30D54C,CEB846,E5AF5B,67C6D6
260340,001C3A,001E33,221B1E
52B538,B29F36,C69746,6FA7B5
F9636C,9C937F,B38D62,F9636A
18A1B1,8D90A6,8B8EB6,1AA0AD
B48629,9E8D2F,B2852D,B97C85
7D67EC,0077F8,007DDA,5B818B
0A9B62,92865B,9E816A,3D929E
E45507,94831B,A77C00,E55054
F90FC6,3C83FF,7D85B1,EF5054
AC0D9B,005CC0,4C5E8A,A13F43
D7C395,D2C394,E7BB96,DDBAC9
FA92E5,9DB2FA,B2B0DB,F29DA9
9FFD5B,FFE561,FFDFBA,BBECFF
3A897F,7F7B77,847884,448590
C9BFF2,B7C2F4,C0C0F1,C1C3D3
FDD02C,EFD431,FFCB7A,FFC4D0
5FBD5E,B9A858,CCA068,77B1BF
77B7F8,9BAEF3,94AFFA,64BECD
472DE4,0052A9,005790,005E63
A1E593,E6D38B,FBCA9A,B2D9EA
CA1522,706638,816017,C81E1B
1D05BE,003A77,003E65,004245
0156BA,0057B6,005D9E,00646A
D5A08B,B4AA8F,C8A488,D79AA6
AC0F79,3859A1,5C596C,A53336
7FF05A,EFD654,FFCD8A,9EE0F2
07A0C5,8790BA,7E90CA,00A1AE
BBBF69,CBB867,E2B06D,C5B3C1
25E920,E3C91D,FDBE3F,6FD8E9
652899,004895,004C82,54474C
5B4DA5,2758AD,1C5C9E,485E66
D89ADE,9BACEA,A9AAD7,CFA2AE
2BDF29,D9C026,F2B642,6CCEDF
0D17DA,00448B,004876,004D51
28E3AE,D5C7A0,E2C1B8,57DAEB
7AA85D,A99A59,BB9364,879DAA
529D35,9C8B34,AD8441,68919D
4D3513,433C1B,4B3919,513539
2D9E97,908C8D,94899D,3B9AA6
9A0332,4F4D4A,5E492D,981716
8AD6B3,CFC5AA,DEBEB9,95CEDF
1C9ACA,7E8CC0,738DCE,009DA9
7E6F8A,6E738B,757188,7A717A
C76ABD,7088D1,8288B2,BE7780
796EED,267AF9,0081E0,568690
53E145,DDC440,F5BA56,7ED1E2
16444F,3E404C,3D3F53,1A464C
A58C92,939093,A08C90,A48A95
CD06E6,0074EF,2D79CE,B95B62
8A2860,424F76,544E58,85363A
ED63A7,8591C1,9E8F9B,E86E75
6046D2,005CC0,0062A6,35676F
5BB3A0,A8A297,B19DA6,65ADBB
1B4144,3E3D43,3F3C48,224348
5A4AB1,0057B6,005CA0,415F67
5E2337,383A43,423836,5D2A2D
44F004,EBD000,FFC767,7EDEF0
6CCD6B,CAB764,DEAE74,84C0CF
87967E,98907B,A58B80,8B909B
2DC1FA,A0B0EF,93B1FF,00C5D5
DED00F,E6CC15,FFC248,ECC0CF
72B174,AFA16E,BF9A7A,80A7B4
96AA00,B49F00,CA961D,A39CA8
5D45DC,005DC1,0063A7,246972
071978,002B58,002D4B,003133
5D4BC7,005CC0,0062A7,39666E
7D722D,7E7131,8D6B33,836A73
30B476,AB9D6D,B8977F,52AAB8
5A55AC,315DB1,2461A6,45656D
159CDD,7A8FD4,6791E0,00A1AD
1777E3,3974E0,007AD3,00858D
B7C100,D0B700,E9AD1F,C5B2BF
4E42E4,005BBC,0061A2,00686F
DD8DA5,A2A1AF,B49D9F,DB8E98
328378,797571,7E727D,3E7F89
EDE320,FADE24,FFD7A0,FDD2E2
197C75,716E6D,746C7A,2A7983
B8B963,C6B362,DCAA67,C2ADBB
3C0BB8,003D7E,00416C,00464A
80CB11,CEB612,E7AC2E,98BBCA
B02276,495E98,655D6A,AA393C
0F4DE9,005CBE,0061A2,00696E
49471F,4F4724,584426,4F444A
8CB2BB,AAA9B5,B2A5BD,8CB0BE
5EA0EF,7E99EA,6E9CF0,3FAAB8
99AE43,B7A342,CC9B4B,A5A1AE
2C113D,002247,10233B,2A2123
1649B5,004FA5,00548E,005B60
F1932B,BDA834,D59F29,F68892
E70F3C,7C7458,916E31,E5201D
183FE5,0054AE,005A95,006165
207286,63687F,616789,1D737C
49CBC5,BAB6B9,BFB2CC,55C7D7
C9408B,6373A8,7C727F,C35055
642292,00448E,00487C,544247
687C4C,7F754B,8C7051,70757E
ED1706,867720,977100,ED1D17
5418FD,0055B0,005B96,006267
CFDD45,EDD344,FFCA78,DFCDDD
E29E32,BFAA39,D7A133,E8929D
4C1558,003065,1D3252,462A2D
9246B3,2064CB,3F68A7,835E65
12F076,E6D06B,FDC683,66E1F3
92FDE3,F1E8D8,FFE2EC,BDF2FF
78700F,7C6E16,8B681B,7F6870
28B5C9,9FA2BD,9DA1CF,27B4C3
7AEABB,E0D3B0,F0CCC3,8CE1F3
836F01,7E7007,8E6A0E,89676E
607B60,7B735D,856F64,66767F
2F83F1,4980EE,0086E9,00919B
9960F6,167BFF,0082E2,7B808A
BB6DA7,7784B5,87839F,B4757E
C2BF31,D0B933,E9AF3B,CEB1BE
EDA887,C3B68C,DAAF84,F1A1AD
14F023,E9CF1F,FFC560,6EDEF0
9FFE1B,FFE55D,FFE0B8,BDECFE
5D10AF,00448C,004878,3F474D
1A04FA,004B9A,005083,005659
A4E5A0,E5D498,F9CBA7,B3DAEB
A2188F,0058B7,4D5A80,983D41
937F89,83828A,8E7F87,927E88
D555C7,5884E9,7885B8,CA6C74
BB3454,68676A,7B634C,B83C3F
FCE571,FDE470,FFDFBA,FFDAE6
F859CC,6F94F4,9294BC,EF7078
5D6CE6,1D73ED,007AD2,29838D
D75F0C,93821C,A67B00,D9595E
90CDCB,C3BFC3,CDBBCF,93C9D9
B31373,465D99,645C67,AD3235
D5408B,6A78AA,84767E,D05055
