"state_name","year","load_time","area_acre","mass_bushel","yield_bu_per_ac"
"IDAHO",1950,"2012-01-01 00:00:00",12000,642000,53.5
"IDAHO",1951,"2012-01-01 00:00:00",12000,666000,55.5
"IDAHO",1952,"2012-01-01 00:00:00",12000,696000,58
"IDAHO",1953,"2012-01-01 00:00:00",13000,722000,55.5384615384615
"IDAHO",1954,"2012-01-01 00:00:00",14000,854000,61
"IDAHO",1955,"2012-01-01 00:00:00",15000,930000,62
"IDAHO",1956,"2012-01-01 00:00:00",15000,1065000,71
"IDAHO",1957,"2012-01-01 00:00:00",20000,1520000,76
"IDAHO",1958,"2012-01-01 00:00:00",22000,1595000,72.5
"IDAHO",1959,"2012-01-01 00:00:00",25000,1888000,75.52
"IDAHO",1960,"2012-01-01 00:00:00",21000,1596000,76
"IDAHO",1961,"2012-01-01 00:00:00",23000,1794000,78
"IDAHO",1962,"2012-01-01 00:00:00",23000,1725000,75
"IDAHO",1963,"2012-01-01 00:00:00",21000,1680000,80
"IDAHO",1964,"2012-01-01 00:00:00",20000,1490000,74.5
"IDAHO",1965,"2012-01-01 00:00:00",20000,1500000,75
"IDAHO",1966,"2012-01-01 00:00:00",18000,1386000,77
"IDAHO",1967,"2012-01-01 00:00:00",22000,1782000,81
"IDAHO",1968,"2012-01-01 00:00:00",24000,1968000,82
"IDAHO",1969,"2012-01-01 00:00:00",28000,2380000,85
"IDAHO",1970,"2012-01-01 00:00:00",35000,2835000,81
"IDAHO",1971,"2012-01-01 00:00:00",33000,2739000,83
"IDAHO",1972,"2012-01-01 00:00:00",29000,2523000,87
"IDAHO",1973,"2012-01-01 00:00:00",32000,2848000,89
"IDAHO",1974,"2012-01-01 00:00:00",35000,3010000,86
"IDAHO",1975,"2012-01-01 00:00:00",33000,2739000,83
"IDAHO",1976,"2012-01-01 00:00:00",41000,3485000,85
"IDAHO",1977,"2012-01-01 00:00:00",40000,3440000,86
"IDAHO",1978,"2012-01-01 00:00:00",58000,5046000,87
"IDAHO",1979,"2012-01-01 00:00:00",50000,4400000,88
"IDAHO",1980,"2012-01-01 00:00:00",50000,5250000,105
"IDAHO",1981,"2012-01-01 00:00:00",65000,7475000,115
"IDAHO",1982,"2012-01-01 00:00:00",71000,8520000,120
"IDAHO",1983,"2012-01-01 00:00:00",65000,7735000,119
"IDAHO",1984,"2012-01-01 00:00:00",75000,8850000,118
"IDAHO",1985,"2012-01-01 00:00:00",80000,1e+07,125
"IDAHO",1986,"2012-01-01 00:00:00",60000,7800000,130
"IDAHO",1987,"2012-01-01 00:00:00",50000,6500000,130
"IDAHO",1988,"2012-01-01 00:00:00",50000,6500000,130
"IDAHO",1989,"2012-01-01 00:00:00",50000,6250000,125
"IDAHO",1990,"2012-01-01 00:00:00",30000,3900000,130
"IDAHO",1991,"2012-01-01 00:00:00",63000,7875000,125
"IDAHO",1992,"2012-01-01 00:00:00",33000,4290000,130
"IDAHO",1993,"2012-01-01 00:00:00",45000,5625000,125
"IDAHO",1994,"2012-01-01 00:00:00",35000,4900000,140
"IDAHO",1995,"2012-01-01 00:00:00",35000,4900000,140
"IDAHO",1996,"2012-01-01 00:00:00",40000,5400000,135
"IDAHO",1997,"2012-01-01 00:00:00",43000,6665000,155
"IDAHO",1998,"2012-01-01 00:00:00",52000,7800000,150
"IDAHO",1999,"2012-01-01 00:00:00",55000,8525000,155
"IDAHO",2000,"2012-01-01 00:00:00",57000,9120000,160
"IDAHO",2001,"2012-01-01 00:00:00",45000,6750000,150
"IDAHO",2002,"2012-01-01 00:00:00",45000,6975000,155
"IDAHO",2003,"2012-01-01 00:00:00",50000,7e+06,140
"IDAHO",2004,"2012-01-01 00:00:00",75000,13125000,175
"IDAHO",2005,"2012-01-01 00:00:00",60000,10200000,170
"IDAHO",2006,"2012-01-01 00:00:00",65000,11050000,170
"IDAHO",2007,"2012-01-01 00:00:00",105000,17850000,170
"IDAHO",2008,"2014-11-03 16:18:55",80000,13600000,170
"IDAHO",2009,"2015-06-03 15:08:31",80000,14800000,185
"IDAHO",2010,"2014-11-03 16:18:55",110000,20900000,190
"IDAHO",2011,"2014-11-03 16:18:55",120000,22680000,189
"IDAHO",2012,"2014-11-03 16:18:55",135000,26325000,195
"IDAHO",2013,"2019-02-06 15:00:06",115000,20815000,181
"IDAHO",2014,"2019-02-06 15:00:06",80000,1.6e+07,200
"IDAHO",2015,"2019-02-06 15:00:06",70000,14490000,207
"IDAHO",2016,"2019-02-06 15:00:06",1e+05,18800000,188
"IDAHO",2017,"2019-02-06 15:00:06",115000,23345000,203
"ILLINOIS",1950,"2012-01-01 00:00:00",8008000,408408000,51
"ILLINOIS",1951,"2012-01-01 00:00:00",8483000,466565000,55
"ILLINOIS",1952,"2012-01-01 00:00:00",8728000,506224000,58
"ILLINOIS",1953,"2012-01-01 00:00:00",9002000,486108000,54
"ILLINOIS",1954,"2012-01-01 00:00:00",8699000,439300000,50.500057477871
"ILLINOIS",1955,"2012-01-01 00:00:00",8885000,497560000,56
"ILLINOIS",1956,"2012-01-01 00:00:00",8477000,576436000,68
"ILLINOIS",1957,"2012-01-01 00:00:00",7894000,505216000,64
"ILLINOIS",1958,"2012-01-01 00:00:00",8244000,568836000,69
"ILLINOIS",1959,"2012-01-01 00:00:00",9789000,655863000,67
"ILLINOIS",1960,"2012-01-01 00:00:00",9985000,678980000,68
"ILLINOIS",1961,"2012-01-01 00:00:00",8188000,646852000,79
"ILLINOIS",1962,"2012-01-01 00:00:00",8270000,702950000,85
"ILLINOIS",1963,"2012-01-01 00:00:00",8849000,769863000,87
"ILLINOIS",1964,"2012-01-01 00:00:00",9253000,740240000,80
"ILLINOIS",1965,"2012-01-01 00:00:00",9777000,919038000,94
"ILLINOIS",1966,"2012-01-01 00:00:00",10342000,848044000,82
"ILLINOIS",1967,"2012-01-01 00:00:00",10788000,1121952000,104
"ILLINOIS",1968,"2012-01-01 00:00:00",10088000,907920000,90
"ILLINOIS",1969,"2012-01-01 00:00:00",9698000,989196000,102
"ILLINOIS",1970,"2012-01-01 00:00:00",9940000,735560000,74
"ILLINOIS",1971,"2012-01-01 00:00:00",10070000,1067420000,106
"ILLINOIS",1972,"2012-01-01 00:00:00",9225000,1014750000,110
"ILLINOIS",1973,"2012-01-01 00:00:00",9530000,981590000,103
"ILLINOIS",1974,"2012-01-01 00:00:00",9900000,811800000,82
"ILLINOIS",1975,"2012-01-01 00:00:00",10810000,1253960000,116
"ILLINOIS",1976,"2012-01-01 00:00:00",11590000,1240130000,107
"ILLINOIS",1977,"2012-01-01 00:00:00",11280000,1184400000,105
"ILLINOIS",1978,"2012-01-01 00:00:00",11170000,1239870000,111
"ILLINOIS",1979,"2012-01-01 00:00:00",11050000,1403350000,127
"ILLINOIS",1980,"2012-01-01 00:00:00",11440000,1063920000,93
"ILLINOIS",1981,"2012-01-01 00:00:00",11320000,1426320000,126
"ILLINOIS",1982,"2012-01-01 00:00:00",11440000,1498640000,131
"ILLINOIS",1983,"2012-01-01 00:00:00",7900000,624100000,79
"ILLINOIS",1984,"2012-01-01 00:00:00",10940000,1247160000,114
"ILLINOIS",1985,"2012-01-01 00:00:00",11370000,1534950000,135
"ILLINOIS",1986,"2012-01-01 00:00:00",10400000,1.404e+09,135
"ILLINOIS",1987,"2012-01-01 00:00:00",9200000,1214400000,132
"ILLINOIS",1988,"2012-01-01 00:00:00",9600000,700800000,73
"ILLINOIS",1989,"2012-01-01 00:00:00",10750000,1322250000,123
"ILLINOIS",1990,"2012-01-01 00:00:00",10400000,1320800000,127
"ILLINOIS",1991,"2012-01-01 00:00:00",1.1e+07,1.177e+09,107
"ILLINOIS",1992,"2012-01-01 00:00:00",11050000,1646450000,149
"ILLINOIS",1993,"2012-01-01 00:00:00",1e+07,1.3e+09,130
"ILLINOIS",1994,"2012-01-01 00:00:00",11450000,1786200000,156
"ILLINOIS",1995,"2012-01-01 00:00:00",1e+07,1.13e+09,113
"ILLINOIS",1996,"2012-01-01 00:00:00",10800000,1468800000,136
"ILLINOIS",1997,"2012-01-01 00:00:00",11050000,1425450000,129
"ILLINOIS",1998,"2012-01-01 00:00:00",10450000,1473450000,141
"ILLINOIS",1999,"2012-01-01 00:00:00",10650000,1.491e+09,140
"ILLINOIS",2000,"2012-01-01 00:00:00",11050000,1668550000,151
"ILLINOIS",2001,"2012-01-01 00:00:00",10850000,1649200000,152
"ILLINOIS",2002,"2012-01-01 00:00:00",10900000,1471500000,135
"ILLINOIS",2003,"2012-01-01 00:00:00",11050000,1812200000,164
"ILLINOIS",2004,"2012-01-01 00:00:00",11600000,2.088e+09,180
"ILLINOIS",2005,"2012-01-01 00:00:00",11950000,1708850000,143
"ILLINOIS",2006,"2012-01-01 00:00:00",11150000,1817450000,163
"ILLINOIS",2007,"2012-01-01 00:00:00",13050000,2283750000,175
"ILLINOIS",2008,"2015-06-03 15:08:31",11900000,2130100000,179
"ILLINOIS",2009,"2015-06-03 15:08:31",11800000,2053200000,174
"ILLINOIS",2010,"2015-06-03 15:08:31",12400000,1946800000,157
"ILLINOIS",2011,"2015-06-03 15:08:31",12350000,1938950000,157
"ILLINOIS",2012,"2015-06-03 15:08:31",12250000,1286250000,105
"ILLINOIS",2013,"2019-02-06 15:00:06",11800000,2100400000,178
"ILLINOIS",2014,"2019-02-06 15:00:06",11750000,2.35e+09,200
"ILLINOIS",2015,"2019-02-06 15:00:06",11500000,2012500000,175
"ILLINOIS",2016,"2019-02-06 15:00:06",11450000,2255650000,197
"ILLINOIS",2017,"2019-02-06 15:00:06",10950000,2200950000,201
"INDIANA",1950,"2012-01-01 00:00:00",4227000,205010000,48.5001182872013
"INDIANA",1951,"2012-01-01 00:00:00",4396000,232988000,53
"INDIANA",1952,"2012-01-01 00:00:00",4458000,222900000,50
"INDIANA",1953,"2012-01-01 00:00:00",4562000,234943000,51.5
"INDIANA",1954,"2012-01-01 00:00:00",4665000,258908000,55.5001071811361
"INDIANA",1955,"2012-01-01 00:00:00",4798000,268688000,56
"INDIANA",1956,"2012-01-01 00:00:00",4592000,284704000,62
"INDIANA",1957,"2012-01-01 00:00:00",4222000,249098000,59
"INDIANA",1958,"2012-01-01 00:00:00",4291000,270333000,63
"INDIANA",1959,"2012-01-01 00:00:00",5051000,315688000,62.500098990299
"INDIANA",1960,"2012-01-01 00:00:00",5152000,350336000,68
"INDIANA",1961,"2012-01-01 00:00:00",4019000,297406000,74
"INDIANA",1962,"2012-01-01 00:00:00",4140000,339480000,82
"INDIANA",1963,"2012-01-01 00:00:00",4306000,374622000,87
"INDIANA",1964,"2012-01-01 00:00:00",4435000,319320000,72
"INDIANA",1965,"2012-01-01 00:00:00",4701000,441894000,94
"INDIANA",1966,"2012-01-01 00:00:00",5077000,406160000,80
"INDIANA",1967,"2012-01-01 00:00:00",5382000,462852000,86
"INDIANA",1968,"2012-01-01 00:00:00",4736000,416768000,88
"INDIANA",1969,"2012-01-01 00:00:00",4620000,4.62e+08,100
"INDIANA",1970,"2012-01-01 00:00:00",4923000,374148000,76
"INDIANA",1971,"2012-01-01 00:00:00",5509000,556409000,101
"INDIANA",1972,"2012-01-01 00:00:00",4884000,507936000,104
"INDIANA",1973,"2012-01-01 00:00:00",5240000,534480000,102
"INDIANA",1974,"2012-01-01 00:00:00",5310000,387630000,73
"INDIANA",1975,"2012-01-01 00:00:00",5630000,551740000,98
"INDIANA",1976,"2012-01-01 00:00:00",6300000,6.93e+08,110
"INDIANA",1977,"2012-01-01 00:00:00",6210000,633420000,102
"INDIANA",1978,"2012-01-01 00:00:00",6200000,669600000,108
"INDIANA",1979,"2012-01-01 00:00:00",6030000,675360000,112
"INDIANA",1980,"2012-01-01 00:00:00",6280000,602880000,96
"INDIANA",1981,"2012-01-01 00:00:00",6e+06,6.48e+08,108
"INDIANA",1982,"2012-01-01 00:00:00",6270000,790020000,126
"INDIANA",1983,"2012-01-01 00:00:00",4670000,340910000,73
"INDIANA",1984,"2012-01-01 00:00:00",6030000,705510000,117
"INDIANA",1985,"2012-01-01 00:00:00",6150000,756450000,123
"INDIANA",1986,"2012-01-01 00:00:00",5700000,695400000,122
"INDIANA",1987,"2012-01-01 00:00:00",4880000,658800000,135
"INDIANA",1988,"2012-01-01 00:00:00",5e+06,4.15e+08,83
"INDIANA",1989,"2012-01-01 00:00:00",5200000,691600000,133
"INDIANA",1990,"2012-01-01 00:00:00",5450000,703050000,129
"INDIANA",1991,"2012-01-01 00:00:00",5550000,510600000,92
"INDIANA",1992,"2012-01-01 00:00:00",5970000,877590000,147
"INDIANA",1993,"2012-01-01 00:00:00",5400000,712800000,132
"INDIANA",1994,"2012-01-01 00:00:00",5960000,858240000,144
"INDIANA",1995,"2012-01-01 00:00:00",5300000,598900000,113
"INDIANA",1996,"2012-01-01 00:00:00",5450000,670350000,123
"INDIANA",1997,"2012-01-01 00:00:00",5750000,701500000,122
"INDIANA",1998,"2012-01-01 00:00:00",5550000,760350000,137
"INDIANA",1999,"2012-01-01 00:00:00",5670000,748440000,132
"INDIANA",2000,"2012-01-01 00:00:00",5550000,810300000,146
"INDIANA",2001,"2012-01-01 00:00:00",5670000,884520000,156
"INDIANA",2002,"2012-01-01 00:00:00",5220000,631620000,121
"INDIANA",2003,"2012-01-01 00:00:00",5390000,786940000,146
"INDIANA",2004,"2012-01-01 00:00:00",5530000,929040000,168
"INDIANA",2005,"2012-01-01 00:00:00",5770000,888580000,154
"INDIANA",2006,"2012-01-01 00:00:00",5380000,844660000,157
"INDIANA",2007,"2012-01-01 00:00:00",6370000,980980000,154
"INDIANA",2008,"2015-06-03 15:08:31",5460000,873600000,160
"INDIANA",2009,"2015-06-03 15:08:31",5460000,933660000,171
"INDIANA",2010,"2015-06-03 15:08:31",5720000,898040000,157
"INDIANA",2011,"2015-06-03 15:08:31",5750000,839500000,146
"INDIANA",2012,"2015-06-03 15:08:31",6030000,596970000,99
"INDIANA",2013,"2019-02-06 15:00:06",5830000,1031910000,177
"INDIANA",2014,"2019-02-06 15:00:06",5770000,1084760000,188
"INDIANA",2015,"2019-02-06 15:00:06",5480000,8.22e+08,150
"INDIANA",2016,"2019-02-06 15:00:06",5470000,946310000,173
"INDIANA",2017,"2019-03-21 15:28:35",5200000,9.36e+08,180
"IOWA",1950,"2012-01-01 00:00:00",9396000,455706000,48.5
"IOWA",1951,"2012-01-01 00:00:00",9680000,421080000,43.5
"IOWA",1952,"2012-01-01 00:00:00",10449000,653062000,62.499952148531
"IOWA",1953,"2012-01-01 00:00:00",10811000,572983000,53
"IOWA",1954,"2012-01-01 00:00:00",10014000,545763000,54.5
"IOWA",1955,"2012-01-01 00:00:00",10293000,499210000,48.4999514232974
"IOWA",1956,"2012-01-01 00:00:00",9413000,503596000,53.5000531180283
"IOWA",1957,"2012-01-01 00:00:00",9860000,611320000,62
"IOWA",1958,"2012-01-01 00:00:00",9782000,645612000,66
"IOWA",1959,"2012-01-01 00:00:00",12139000,789035000,65
"IOWA",1960,"2012-01-01 00:00:00",12166000,772541000,63.5
"IOWA",1961,"2012-01-01 00:00:00",9976000,753188000,75.5
"IOWA",1962,"2012-01-01 00:00:00",9677000,745129000,77
"IOWA",1963,"2012-01-01 00:00:00",10645000,851600000,80
"IOWA",1964,"2012-01-01 00:00:00",9738000,754695000,77.5
"IOWA",1965,"2012-01-01 00:00:00",9933000,814506000,82
"IOWA",1966,"2012-01-01 00:00:00",10132000,901748000,89
"IOWA",1967,"2012-01-01 00:00:00",11145000,986332000,88.4999551368327
"IOWA",1968,"2012-01-01 00:00:00",9775000,909075000,93
"IOWA",1969,"2012-01-01 00:00:00",9549000,945351000,99
"IOWA",1970,"2012-01-01 00:00:00",10077000,866622000,86
"IOWA",1971,"2012-01-01 00:00:00",11550000,1178100000,102
"IOWA",1972,"2012-01-01 00:00:00",10600000,1229600000,116
"IOWA",1973,"2012-01-01 00:00:00",11280000,1206960000,107
"IOWA",1974,"2012-01-01 00:00:00",12100000,9.68e+08,80
"IOWA",1975,"2012-01-01 00:00:00",12420000,1117800000,90
"IOWA",1976,"2012-01-01 00:00:00",12900000,1173900000,91
"IOWA",1977,"2012-01-01 00:00:00",12700000,1092200000,86
"IOWA",1978,"2012-01-01 00:00:00",12850000,1477750000,115
"IOWA",1979,"2012-01-01 00:00:00",13100000,1663700000,127
"IOWA",1980,"2012-01-01 00:00:00",13300000,1.463e+09,110
"IOWA",1981,"2012-01-01 00:00:00",13850000,1731250000,125
"IOWA",1982,"2012-01-01 00:00:00",13150000,1.578e+09,120
"IOWA",1983,"2012-01-01 00:00:00",8550000,743850000,87
"IOWA",1984,"2012-01-01 00:00:00",12900000,1444800000,112
"IOWA",1985,"2012-01-01 00:00:00",13550000,1707300000,126
"IOWA",1986,"2012-01-01 00:00:00",12050000,1626750000,135
"IOWA",1987,"2012-01-01 00:00:00",10150000,1319500000,130
"IOWA",1988,"2012-01-01 00:00:00",10700000,898800000,84
"IOWA",1989,"2012-01-01 00:00:00",12250000,1445500000,118
"IOWA",1990,"2012-01-01 00:00:00",12400000,1562400000,126
"IOWA",1991,"2012-01-01 00:00:00",12200000,1427400000,117
"IOWA",1992,"2012-01-01 00:00:00",12950000,1903650000,147
"IOWA",1993,"2012-01-01 00:00:00",1.1e+07,8.8e+08,80
"IOWA",1994,"2012-01-01 00:00:00",12600000,1915200000,152
"IOWA",1995,"2012-01-01 00:00:00",11600000,1426800000,123
"IOWA",1996,"2012-01-01 00:00:00",12400000,1711200000,138
"IOWA",1997,"2012-01-01 00:00:00",11900000,1642200000,138
"IOWA",1998,"2012-01-01 00:00:00",12200000,1.769e+09,145
"IOWA",1999,"2012-01-01 00:00:00",11800000,1758200000,149
"IOWA",2000,"2012-01-01 00:00:00",1.2e+07,1.728e+09,144
"IOWA",2001,"2012-01-01 00:00:00",11400000,1664400000,146
"IOWA",2002,"2012-01-01 00:00:00",11850000,1931550000,163
"IOWA",2003,"2012-01-01 00:00:00",11900000,1868300000,157
"IOWA",2004,"2012-01-01 00:00:00",12400000,2244400000,181
"IOWA",2005,"2012-01-01 00:00:00",12500000,2162500000,173
"IOWA",2006,"2012-01-01 00:00:00",12350000,2050100000,166
"IOWA",2007,"2012-01-01 00:00:00",13900000,2376900000,171
"IOWA",2008,"2015-06-03 15:08:31",12800000,2188800000,171
"IOWA",2009,"2015-06-03 15:08:31",13300000,2407300000,181
"IOWA",2010,"2015-06-03 15:08:31",13050000,2153250000,165
"IOWA",2011,"2015-06-03 15:08:31",13700000,2356400000,172
"IOWA",2012,"2015-06-03 15:08:31",13700000,1876900000,137
"IOWA",2013,"2019-02-06 15:00:06",13050000,2140200000,164
"IOWA",2014,"2019-02-06 15:00:06",13300000,2367400000,178
"IOWA",2015,"2019-02-06 15:00:06",13050000,2505600000,192
"IOWA",2016,"2019-02-06 15:00:06",13500000,2740500000,203
"IOWA",2017,"2019-02-06 15:00:06",12900000,2605800000,202
