FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2023-01-05 04:21:04,33.93911,67.709953,207715,7850,,,Afghanistan,533.5829749333525,3.7792167152107456
,,,Albania,2023-01-05 04:21:04,41.1533,20.1683,333818,3596,,,Albania,11599.763708388353,1.0772337021970055
,,,Algeria,2023-01-05 04:21:04,28.0339,1.6596,271236,6881,,,Algeria,618.5394495633775,2.5369051305873853
,,,Andorra,2023-01-05 04:21:04,42.5063,1.5218,47751,165,,,Andorra,61801.59192389828,0.3455425017277125
,,,Angola,2023-01-05 04:21:04,-11.2027,17.8739,105095,1930,,,Angola,319.7655419836533,1.8364337028402873
,,,Antarctica,2023-01-05 04:21:04,-71.9499,23.347,11,0,,,Antarctica,,0.0
,,,Antigua and Barbuda,2023-01-05 04:21:04,17.0608,-61.7964,9106,146,,,Antigua and Barbuda,9298.668409443671,1.6033384581594552
,,,Argentina,2023-01-05 04:21:04,-38.4161,-63.6167,9963697,130171,,,Argentina,22045.63713994783,1.3064528156566784
,,,Armenia,2023-01-05 04:21:04,40.0691,45.0382,445976,8716,,,Armenia,15050.31327259339,1.954365257323264
,,Australian Capital Territory,Australia,2023-01-05 04:21:04,-35.4735,149.0124,224902,138,,,"Australian Capital Territory, Australia",52534.921747255314,0.06136005904794088
,,New South Wales,Australia,2023-01-05 04:21:04,-33.8688,151.2093,3825104,5804,,,"New South Wales, Australia",47118.79773343188,0.15173443650159577
,,Northern Territory,Australia,2023-01-05 04:21:04,-12.4634,130.8456,103002,84,,,"Northern Territory, Australia",41938.925081433226,0.08155181452787325
,,Queensland,Australia,2023-01-05 04:21:04,-27.4698,153.0251,1743616,2405,,,"Queensland, Australia",34084.957482162055,0.13793174643958303
,,South Australia,Australia,2023-01-05 04:21:04,-34.9285,138.6007,862043,1155,,,"South Australia, Australia",49077.31283803017,0.13398403559915226
,,Tasmania,Australia,2023-01-05 04:21:04,-42.8821,147.3272,280254,224,,,"Tasmania, Australia",52335.01400560224,0.07992749434441614
,,Victoria,Australia,2023-01-05 04:21:04,-37.8136,144.9631,2842218,6465,,,"Victoria, Australia",42869.69637551095,0.2274631995153081
,,Western Australia,Australia,2023-01-05 04:21:04,-31.9505,115.8605,1255595,837,,,"Western Australia, Australia",47730.36569603893,0.06666162257734382
,,,Austria,2023-01-05 04:21:04,47.5162,14.5501,5716267,21466,,,Austria,63468.94430627109,0.3755247961650497
,,,Azerbaijan,2023-01-05 04:21:04,40.1431,47.5769,826496,10008,,,Azerbaijan,8151.511340912845,1.2108951525476228
,,,Bahamas,2023-01-05 04:21:04,25.025885,-78.035889,37491,833,,,Bahamas,9533.678492961184,2.2218665813128484
