name,symbol,atomic_number,atomic_weight,period,group,block,category,phase,melting_point,boiling_point,electronegativity,atomic_radius,covalent_radius,at_t_(k)
Hydrogen,H,1,1.008,1,1,s,Reactive nonmetal,gas,13.99,20.271,2.2,53.0,31.0,
Helium,He,2,4.0026022,1,18,s,Noble gas,gas,0.95,4.222,0.0,31.0,28.0,
Lithium,Li,3,6.94,2,1,s,Alkali metal,solid,453.65,1603.0,0.98,152.0,128.0,797.0
Beryllium,Be,4,9.01218315,2,2,s,Alkaline earth metal,solid,1560.0,2742.0,1.57,112.0,96.0,1462.0
Boron,B,5,10.81,2,13,p,Metalloid,solid,2349.0,4200.0,2.04,90.0,84.0,2348.0
Carbon,C,6,12.011,2,14,p,Reactive nonmetal,solid,3823.15,4300.0,2.55,67.0,77.0,
Nitrogen,N,7,14.007,2,15,p,Reactive nonmetal,gas,63.15,77.355,3.04,56.0,71.0,37.0
Oxygen,O,8,15.999,2,16,p,Reactive nonmetal,gas,54.36,90.188,3.44,48.0,66.0,
Fluorine,F,9,18.99840316,2,17,p,Reactive nonmetal,gas,53.48,85.03,3.98,42.0,64.0,38.0
Neon,Ne,10,20.17976,2,18,p,Noble gas,gas,24.56,27.104,0.0,38.0,58.0,12.0
Sodium,Na,11,22.98976928,3,1,s,Alkali metal,solid,370.944,1156.09,0.93,186.0,166.0,554.0
Magnesium,Mg,12,24.305,3,2,s,Alkaline earth metal,solid,923.0,1363.0,1.31,160.0,141.0,701.0
Aluminum,Al,13,26.98153857,3,13,p,Post-transition metal,solid,933.47,2743.0,1.61,143.0,121.0,1482.0
Silicon,Si,14,28.085,3,14,p,Metalloid,solid,1687.0,3538.0,1.9,111.0,111.0,1908.0
Phosphorus,P,15,30.973762,3,15,p,Reactive nonmetal,solid,317.35,553.65,2.19,98.0,107.0,455.0
Sulfur,S,16,32.06,3,16,p,Reactive nonmetal,solid,388.36,717.8,2.58,87.0,105.0,375.0
Chlorine,Cl,17,35.45,3,17,p,Reactive nonmetal,gas,171.6,239.11,3.16,79.0,102.0,128.0
Argon,Ar,18,39.9481,3,18,p,Noble gas,gas,83.81,87.302,0.0,71.0,106.0,
Potassium,K,19,39.09831,4,1,s,Alkali metal,solid,336.7,1032.0,0.82,227.0,203.0,
Calcium,Ca,20,40.0784,4,2,s,Alkaline earth metal,solid,1115.0,1757.0,1.0,197.0,176.0,864.0
Scandium,Sc,21,44.9559085,4,3,d,Transition metal,solid,1814.0,3109.0,1.36,162.0,170.0,1645.0
Titanium,Ti,22,47.8671,4,4,d,Transition metal,solid,1941.0,3560.0,1.54,147.0,160.0,1982.0
Vanadium,V,23,50.94151,4,5,d,Transition metal,solid,2183.0,3680.0,1.63,134.0,153.0,2101.0
Chromium,Cr,24,51.99616,4,6,d,Transition metal,solid,2180.0,2944.0,1.66,128.0,139.0,1656.0
Manganese,Mn,25,54.9380443,4,7,d,Transition metal,solid,1519.0,2334.0,1.55,127.0,139.0,1228.0
Iron,Fe,26,55.8452,4,8,d,Transition metal,solid,1811.0,3134.0,1.83,126.0,132.0,1728.0
Cobalt,Co,27,58.9331944,4,9,d,Transition metal,solid,1768.0,3200.0,1.88,125.0,126.0,1790.0
Nickel,Ni,28,58.69344,4,10,d,Transition metal,solid,1728.0,3003.0,1.91,124.0,124.0,1783.0
Copper,Cu,29,63.5463,4,11,d,Transition metal,solid,1357.77,2835.0,1.9,128.0,132.0,1509.0
Zinc,Zn,30,65.382,4,12,d,Transition metal,solid,692.68,1180.0,1.65,134.0,122.0,610.0
Gallium,Ga,31,69.7231,4,13,p,Post-transition metal,solid,302.9146,2673.0,1.81,135.0,122.0,1310.0
