name,image,year
Afghanistan,https://flaglog.com/img/afghanistan1980.png,1980
Albania,https://flaglog.com/img/albania1946.png,1946
Algeria,https://flaglog.com/img/algeria1962.png,1962
American Samoa,https://flaglog.com/img/americansamoa1960.png,1960
Andorra,https://flaglog.com/img/andorra1971.png,1971
Angola,https://flaglog.com/img/angola1975.png,1975
Anguilla,https://flaglog.com/img/anguilla1967.png,1967
Antigua-Barbuda,https://flaglog.com/img/antigua1967.png,1967
Argentina,https://flaglog.com/img/argentina1818.png,1818
Australia,https://flaglog.com/img/australia1908.png,1908
Austria,https://flaglog.com/img/austria1918.png,1918
Bahamas,https://flaglog.com/img/bahamas1973.png,1973
Bahrain,https://flaglog.com/img/bahrain1950.png,1950
Bangladesh,https://flaglog.com/img/bangladesh1972.png,1972
Barbados,https://flaglog.com/img/barbados1966.png,1966
Belgium,https://flaglog.com/img/belgium1831.png,1831
Belize,https://flaglog.com/img/belize1981.png,1981
Benin,https://flaglog.com/img/benin1959.png,1959
Bermuda,https://flaglog.com/img/bermuda1967.png,1967
Bhutan,https://flaglog.com/img/bhutan1969.png,1969
Bolivia,https://flaglog.com/img/bolivia1851-civil.png,1851-civil
Botswana,https://flaglog.com/img/botswana1966.png,1966
Brazil,https://flaglog.com/img/brazil1968.png,1968
British Virgin Isles,https://flaglog.com/img/bvi1999.png,1999
Brunei,https://flaglog.com/img/brunei1959.png,1959
Bulgaria,https://flaglog.com/img/bulgaria1971.png,1971
Burkina,https://flaglog.com/img/burkinafaso1984.png,1984
Burma,https://flaglog.com/img/burma1974.png,1974
Burundi,https://flaglog.com/img/burundi1982.png,1982
Cameroon,https://flaglog.com/img/cameroon1975.png,1975
Canada,https://flaglog.com/img/canada1965.png,1965
Cape Verde Islands,https://flaglog.com/img/capeverde1975.png,1975
Cayman Islands,https://flaglog.com/img/caymanislands1962.png,1962
Central African Republic,https://flaglog.com/img/car1958.png,1958
Chad,https://flaglog.com/img/chad1959.png,1959
