Country,Latitude,Longitude,OOSR_Pre0Primary_Age,OOSR_Primary_Age,OOSR_Lower_Secondary_Age,OOSR_Upper_Secondary_Age,Completion_Rate_Primary,Completion_Rate_Lower_Secondary,Completion_Rate_Upper_Secondary,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate,Gender
Afghanistan,33.93911,67.709953,0,0,0,44,67,49,32,22,25,13,11,0,0,74,32.49,104.0,9.7,11.12,0
Afghanistan,33.93911,67.709953,0,0,0,69,40,26,14,22,25,13,11,0,0,56,32.49,104.0,9.7,11.12,1
Albania,41.153332,20.168331,4,6,6,21,94,98,76,0,0,0,0,48,58,99,11.78,107.0,55.0,12.33,0
Albania,41.153332,20.168331,2,3,1,15,96,97,80,0,0,0,0,48,58,100,11.78,107.0,55.0,12.33,1
Algeria,28.033886,1.659626,0,0,0,0,93,49,22,0,0,0,0,21,19,98,24.28,109.9,51.4,11.7,0
Algeria,28.033886,1.659626,0,0,0,0,93,65,37,0,0,0,0,21,19,97,24.28,109.9,51.4,11.7,1
Andorra,42.506285,1.521801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,106.4,0.0,0.0,0
Andorra,42.506285,1.521801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,106.4,0.0,0.0,1
Angola,11.202692,17.873887,31,0,0,0,63,42,24,0,0,0,0,0,0,0,40.73,113.5,9.3,6.89,0
Angola,11.202692,17.873887,39,0,0,0,57,32,15,0,0,0,0,0,0,0,40.73,113.5,9.3,6.89,1
Anguilla,18.220554,63.068615,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Anguilla,18.220554,63.068615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Antigua and Barbuda,17.060816,61.796428,14,4,1,14,0,0,0,0,0,0,0,0,0,0,15.33,105.0,24.8,0.0,0
Antigua and Barbuda,17.060816,61.796428,4,1,2,12,0,0,0,0,0,0,0,0,0,0,15.33,105.0,24.8,0.0,1
Argentina,38.416097,63.616672,2,0,0,7,94,79,53,76,71,46,56,48,31,100,17.02,109.7,90.0,9.79,1
Argentina,38.416097,63.616672,2,0,0,15,91,70,46,76,71,46,56,48,31,99,17.02,109.7,90.0,9.79,0
Armenia,40.069099,45.038189,52,9,11,16,99,95,69,0,0,0,55,0,50,0,13.99,92.7,54.6,16.99,0
Armenia,40.069099,45.038189,50,9,9,4,99,99,79,0,0,0,55,0,50,0,13.99,92.7,54.6,16.99,1
Australia,25.274398,133.775136,13,0,2,10,0,0,0,94,70,0,64,80,78,0,12.6,100.3,113.1,5.27,0
Australia,25.274398,133.775136,14,0,3,6,0,0,0,94,70,0,64,80,78,0,12.6,100.3,113.1,5.27,1
Austria,47.516231,14.550072,0,0,0,9,0,0,0,0,0,98,0,76,79,0,9.7,103.1,85.1,4.67,1
Austria,47.516231,14.550072,0,0,1,10,0,0,0,0,0,98,0,76,79,0,9.7,103.1,85.1,4.67,0
Azerbaijan,40.143105,47.576927,32,10,0,0,0,0,0,0,0,81,0,0,0,0,14.0,99.7,27.7,5.51,0
Azerbaijan,40.143105,47.576927,19,7,0,0,0,0,0,0,0,81,0,0,0,0,14.0,99.7,27.7,5.51,1
Bahrain,26.0667,50.5577,31,2,7,18,0,0,0,69,40,0,0,0,39,100,13.99,99.4,50.5,0.71,0
