county,state,population,latitude,longitude
Los Angeles,CA,9936690,34.3219,-118.2247
Cook,IL,5225367,41.8401,-87.8168
Harris,TX,4726177,29.8578,-95.3938
Maricopa,AZ,4430871,33.3490,-112.4915
San Diego,CA,3289701,33.0343,-116.7351
Orange,CA,3175227,33.7031,-117.7609
Miami-Dade,FL,2688237,25.6150,-80.5624
Kings,NY,2679620,40.6413,-73.9383
Dallas,TX,2604053,32.7666,-96.7778
Riverside,CA,2429487,33.7437,-115.9938
Queens,NY,2360826,40.7035,-73.8196
Clark,NV,2265926,36.2152,-115.0135
King,WA,2254371,47.4902,-121.8052
San Bernardino,CA,2180563,34.8414,-116.1785
Tarrant,TX,2113854,32.7719,-97.2911
Bexar,TX,2014059,29.4489,-98.5200
Broward,FL,1940907,26.1523,-80.4871
Santa Clara,CA,1916831,37.2318,-121.6951
Wayne,MI,1781641,42.2822,-83.2830
Alameda,CA,1663823,37.6469,-121.8887
New York,NY,1645867,40.7793,-73.9668
Middlesex,MA,1623109,42.4856,-71.3918
Philadelphia,PA,1593208,40.0077,-75.1339
Sacramento,CA,1579211,38.4493,-121.3443
Suffolk,NY,1524486,40.8681,-72.8454
Palm Beach,FL,1494805,26.6476,-80.4655
Hillsborough,FL,1468560,27.9292,-82.3088
Bronx,NY,1443229,40.8501,-73.8671
Orange,FL,1427403,28.5144,-81.3235
Nassau,NY,1389160,40.7326,-73.5862
Franklin,OH,1318149,39.9695,-83.0093
Travis,TX,1289054,30.3344,-97.7820
Oakland,MI,1272264,42.6604,-83.3858
Hennepin,MN,1270787,45.0046,-93.4770
Cuyahoga,OH,1256620,41.4243,-81.6586
Allegheny,PA,1245310,40.4688,-79.9812
Salt Lake,UT,1180643,40.6673,-111.9236
Contra Costa,CA,1162648,37.9192,-121.9275
Fairfax,VA,1145354,38.8368,-77.2770
Wake,NC,1132103,35.7903,-78.6503
Mecklenburg,NC,1115403,35.2467,-80.8328
Collin,TX,1079153,33.1880,-96.5724
Fulton,GA,1061944,33.7902,-84.4670
Montgomery,MD,1056910,39.1363,-77.2042
Pima,AZ,1042393,32.0974,-111.7899
Honolulu,HI,1010100,21.5009,-158.1060
Fresno,CA,1008280,36.7582,-119.6493
St. Louis,MO,999703,38.6407,-90.4434
Westchester,NY,997904,41.1626,-73.7561
Duval,FL,995708,30.3313,-81.6715
Capitol,CT,977165,41.8185,-72.5720
Marion,IN,971737,39.7817,-86.1385
Pinellas,FL,959918,27.9198,-82.7255
Gwinnett,GA,957977,33.9617,-84.0236
Prince George's,MD,957189,38.8295,-76.8473
Bergen,NJ,953243,40.9597,-74.0742
Erie,NY,951232,42.7639,-78.7323
Milwaukee,WI,933063,43.0072,-87.9669
DuPage,IL,930559,41.8520,-88.0856
